bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
4144,Bringing Down The House,Ben Mezrich,3.89,0099468239,9780099468233,en-GB,320,518,61,5/6/2004,Arrow
5357,Skipping Christmas,John Grisham,3.49,0099481685,9780099481683,eng,198,46334,3399,11/6/2004,Arrow
9300,Watermelon (Walsh Family  #1),Marian Keyes,3.78,0099489988,9780099489986,eng,520,65441,1233,7/7/2005,Arrow
9786,Women Who Love Too Much,Robin Norwood,4.02,0099474123,9780099474128,eng,314,267,32,9/2/2004,Arrow
11901,The Witching Hour (Lives of the Mayfair Witches  #1),Anne Rice,4.11,0099471426,9780099471424,eng,1207,87816,2577,11/4/2004,Arrow
18425,Shake Hands with the Devil,Roméo Dallaire,4.24,0099478935,9780099478935,en-GB,563,242,34,2/3/2005,Arrow
21725,Like a Charm,Karin Slaughter/Denise Mina/John Harvey/Kelley Armstrong/John Connolly/Emma Donoghue/Jane Haddam/Laura Lippman/Peter Robinson/Fidelis Morgan/Peter Moore Smith/Lynda La Plante/Jerrilyn Farmer/Lee Child/Mark Billingham,3.48,0099462257,9780099462255,eng,384,1322,88,6/3/2004,Arrow
31331,Blood Canticle (The Vampire Chronicles #10),Anne Rice,3.72,0099460173,9780099460176,eng,400,19036,325,11/4/2004,Arrow
31341,Blood And Gold (The Vampire Chronicles  #8),Anne Rice,3.89,0099271494,9780099271499,eng,752,28012,436,11/7/2002,Arrow
32103,Lady of Quality,Georgette Heyer,3.88,0099474468,9780099474463,eng,267,5927,458,6/2/2005,Arrow
32104,False Colours,Georgette Heyer,3.86,0099476339,9780099476337,eng,303,4457,330,6/2/2005,Arrow
32106,The Convenient Marriage,Georgette Heyer,3.68,0099474425,9780099474425,eng,272,9272,861,1/6/2005,Arrow
32107,Sprig Muslin,Georgette Heyer,3.81,0099476355,9780099476351,eng,268,5030,406,6/2/2005,Arrow
32108,The Talisman Ring,Georgette Heyer,4.02,0099474395,9780099474395,eng,268,5550,478,1/6/2005,Arrow
32110,The Nonesuch,Georgette Heyer,4.04,0099474387,9780099474388,eng,304,7204,460,1/6/2005,Arrow
32313,No Wind of Blame (Inspector Hemingway #1),Georgette Heyer,3.78,0099493675,9780099493679,eng,352,96,17,9/7/2006,Arrow
32418,Hannibal (Hannibal Lecter  #3),Thomas  Harris,3.76,0099297701,9780099297703,eng,564,71712,2120,5/18/2000,Arrow
34298,Dublin 4,Maeve Binchy,3.64,0099498588,9780099498582,en-US,256,2155,59,5/4/2006,Arrow
34299,Victoria Line  Central Line,Maeve Binchy,3.60,0099498634,9780099498636,eng,432,957,53,7/6/2006,Arrow
34303,Firefly Summer,Maeve Binchy,3.91,0099498669,9780099498667,eng,928,10463,290,8/3/2006,Arrow
34941,The Phantom Menace (Star Wars: Novelizations  #1),Terry Brooks/George Lucas,3.57,0099409968,9780099409960,eng,336,13158,455,3/2/2000,Arrow
35448,Star by Star (Star Wars: The New Jedi Order  #9),Troy Denning,3.95,0099410389,9780099410386,eng,605,7740,108,10/3/2002,Arrow
37106,Five Patients,Michael Crichton,3.48,0099601117,9780099601111,eng,235,74,8,2/2/1995,Arrow
39286,Hide-and-Seek with Angels: The Life of J.M. Barrie,Lisa Chaney,3.91,0099453231,9780099453239,eng,448,66,11,5/16/2006,Arrow
40478,The Agony and the Ecstasy,Irving Stone,4.07,0099416271,9780099416272,eng,777,160,18,1/1/1991,Arrow
41962,Light a Penny Candle,Maeve Binchy,3.91,009949857X,9780099498575,eng,832,14656,585,5/4/2006,Arrow
41977,Circle of Friends,Maeve Binchy/René Huigen/Frans Thomése,4.03,0099498596,9780099498599,eng,722,51839,1396,6/1/2006,Arrow
43826,The Feast Of All Saints,Anne Rice,3.85,0099269473,9780099269472,eng,640,86,5,12/4/1997,Arrow
