bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,9781593080969,eng,635,392,41,1/16/2004,Barnes  Noble Classics
1893,Pride and Prejudice,Jane Austen/Carol Howard,4.26,1593083246,9781593083243,eng,392,1628,171,9/20/2004,Barnes  Noble Classics
1959,A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,3.84,1593080557,9781593080556,en-US,429,730,88,12/1/2003,Barnes  Noble Classics
2390,Moby-Dick,Herman Melville/Carl F. Hovde,3.50,1593080182,9781593080181,eng,707,1260,207,4/1/2003,Barnes  Noble Classics
4940,The Brothers Karamazov,Fyodor Dostoyevsky/Constance Garnett/Maire Jaanus,4.32,159308045X,9781593080457,eng,720,1089,202,7/25/2004,Barnes  Noble Classics
5799,Vanity Fair,William Makepeace Thackeray/Nicholas Dames,3.79,1593080719,9781593080716,eng,696,553,97,11/1/2003,Barnes  Noble Classics
5896,The Woman in White,Wilkie Collins/Camille Cauti,4.00,1593082800,9781593082802,eng,635,624,136,4/25/2005,Barnes  Noble Classics
7637,The Good Soldier,Ford Madox Ford/Frank Kermode,3.72,1593082681,9781593082680,eng,256,264,35,3/28/2005,Barnes  Noble Classics
7723,The Metamorphosis and Other Stories,Franz Kafka/Jason Baker/Donna Freed,4.03,1593080298,9781593080297,eng,224,38114,793,7/1/2003,Barnes  Noble Classics
10147,The Complete Sherlock Holmes  Volume I,Arthur Conan Doyle/Kyle Freeman,4.49,1593080344,9781593080341,eng,709,26794,278,9/1/2003,Barnes  Noble Classics
10148,The Complete Sherlock Holmes  Volume II,Arthur Conan Doyle/Kyle Freeman,4.47,1593080409,9781593080402,eng,709,874,57,10/1/2003,Barnes  Noble Classics
10559,The Three Musketeers,Alexandre Dumas/Barbara T. Cooper,4.07,1593081480,9781593081485,eng,761,1149,147,11/25/2004,Barnes  Noble Classics
10698,Kim,Rudyard Kipling/Jeffrey Meyers,3.72,1593081928,9781593081928,eng,286,398,63,12/15/2003,Barnes  Noble Classics
11373,Main Street,Sinclair Lewis/Brooke Allen,3.77,1593080360,9781593080365,en-US,560,286,37,8/1/2003,Barnes  Noble Classics
12856,The Idiot,Fyodor Dostoyevsky/Constance Garnett/Joseph Frank,4.18,1593080581,9781593080587,eng,578,442,52,1/16/2004,Barnes  Noble Classics
17170,A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,3.84,1593083327,9781593083328,en-GB,409,301,44,10/21/2004,Barnes  Noble Classics
17733,The House of Mirth,Edith Wharton/Jeffrey Meyers,3.95,1593081049,9781593081041,eng,359,74,9,10/1/2003,Barnes  Noble Classics
17846,The House of Mirth,Edith Wharton/Jeffrey Meyers,3.95,1593081537,9781593081539,eng,348,360,67,8/26/2004,Barnes  Noble Classics
18260,Oliver Twist,Charles Dickens/George Cruikshank/Jill Muller,3.86,1593082061,9781593082062,eng,478,348,47,10/25/2004,Barnes  Noble Classics
18385,The Death of Ivan Ilych & Other Stories,Leo Tolstoy,4.11,1593080697,9781593080693,eng,400,263,37,12/15/2003,Barnes  Noble Classics
18824,The Idiot,Fyodor Dostoyevsky/Constance Garnett/Joseph Frank,4.18,1593083475,9785170211579,eng,559,125,13,1/6/2005,Barnes  Noble Classics
19090,Middlemarch,George Eliot/Megan McDaniel/Lynne Sharon Schwartz/Lynn Sharon Schwartz,3.96,1593080239,9781593080235,eng,848,503,121,4/1/2003,Barnes  Noble Classics
23791,Ward No. 6 and Other Stories,Anton Chekhov/David Plante/Constance Garnett,4.33,1593080034,9781593080037,en-US,400,6988,173,7/1/2003,Barnes  Noble Classics
27456,Daniel Deronda,George Eliot/Earl L. Dachslager/George Stade,3.84,1593082908,9781593082901,eng,784,206,47,1/30/2005,Barnes  Noble Classics
29905,Essential Dialogues of Plato,Plato/Benjamin Jowett/Pedro De Blas,4.05,159308269X,9781593082697,eng,624,4853,14,10/5/2005,Barnes  Noble Classics
29907,Republic,Plato/Benjamin Jowett/Elizabeth Watson Scharffenberger,3.94,1593080972,9781593080976,eng,496,392,33,8/1/2005,Barnes  Noble Classics
30482,The Communist Manifesto and Other Writings,Karl Marx/Friedrich Engels/Martin Puchner,3.65,1593083750,9781593083755,eng,224,26,0,10/1/2005,Barnes  Noble Classics
32552,Essential Tales and Poems,Edgar Allan Poe/Benjamin F. Fisher,4.36,1593080646,9781593080648,en-US,688,66382,109,10/25/2004,Barnes  Noble Classics
32572,The Metamorphosis and Other Stories,Franz Kafka/Donna Freed/Jason Baker,4.03,1593081804,9781593081805,eng,191,132,19,9/20/2004,Barnes  Noble Classics
37560,Sense and Sensibility,Jane Austen/Laura Engel,4.07,1593080492,9781593080495,eng,336,655,67,8/1/2003,Barnes  Noble Classics
43544,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories,Robert Louis Stevenson/Jenny Davidson,4.01,1593080549,9781593080549,eng,320,857,57,10/1/2003,Barnes  Noble Classics
45092,Agnes Grey,Anne Brontë/Fred Schwarzbach,3.68,1593083238,9781593083236,eng,224,418,77,10/1/2005,Barnes  Noble Classics
