bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
10084,River of Blue Fire (Otherland  #2),Tad Williams,4.02,0886778441,9780886778446,eng,675,13383,235,9/1/1999,Daw Books
10090,Mountain of Black Glass (Otherland  #3),Tad Williams,4.05,0886779065,9780886779061,eng,749,13265,163,9/12/2000,Daw Books
13986,Arrows of the Queen (Heralds of Valdemar  #1),Mercedes Lackey,4.14,0886773784,9780886773786,eng,320,31058,927,3/3/1987,Daw Books
13990,Storm Warning (Valdemar: Mage Storms #1),Mercedes Lackey,4.03,0886776619,9780886776619,eng,428,11193,123,9/1/1995,Daw Books
13996,Alta (Dragon Jousters  #2),Mercedes Lackey,4.03,0756402573,9780756402570,en-US,434,7060,113,3/1/2005,Daw Books
13997,The Serpent's Shadow (Elemental Masters  #1),Mercedes Lackey,3.99,0756400619,9780756400613,en-US,394,8768,306,3/5/2002,Daw Books
14002,Sword of Ice and Other Tales of Valdemar (Tales of Valdemar #1),Mercedes Lackey/Tanya Huff/Mickey Zucker Reichert/Michelle Sagara West/Gary A. Braunbeck/John Helfers/Elisabeth Waters/Lawrence Schimel/Mark Shepherd/Janni Lee Simner/Richard Lee Byers/Josepha Sherman/Larry Dixon/John Yezeguielian/Mel White/Stephanie D. Shaver/Kristin Schwengel/Ben Ohlander/Philip M. Austin,3.85,0886777208,9780886777203,eng,350,3869,50,1/1/1997,Daw Books
14014,Arrow's Fall (Heralds of Valdemar  #3),Mercedes Lackey,4.19,0886774004,9780886774004,eng,319,19520,330,1/5/1988,Daw Books
14812,The Sword of Angels (The Bronze Knight  #3),John Marco,3.90,075640360X,9780756403607,en-US,980,827,23,7/1/2006,Daw Books
28687,Shadowplay (Shadowmarch  #2),Tad Williams,3.90,0756403588,9780756403584,eng,656,6061,174,3/6/2007,Daw Books
28689,Stone of Farewell (Memory  Sorrow  and Thorn  #2),Tad Williams,4.09,0756402972,9780756402976,eng,608,37694,414,4/1/2005,Daw Books
28725,Exile's Honor (Heralds of Valdemar  #6),Mercedes Lackey,4.20,0756401135,9780756401139,en-US,431,10429,158,10/7/2003,Daw Books
36159,Black Sun Rising (The Coldfire Trilogy  #1),C.S. Friedman,3.93,0756403146,9780756403140,en-US,496,15607,487,9/6/2005,Daw Books
