bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
2811,A House Like a Lotus (O'Keefe Family  #3),Madeleine L'Engle,3.76,0440936853,9780440936855,eng,307,3976,163,11/1/1985,Dell
4540,About the B'nai Bagels,E.L. Konigsburg,3.57,0440400341,9780440400349,eng,172,308,30,3/1/1985,Dell
5196,Tara Road,Maeve Binchy,3.90,0440235596,9780440235590,eng,648,66629,1712,7/18/2000,Dell
6572,Suffer the Children,John Saul,3.91,044018293X,9780440182931,en-US,378,28001,301,7/1/1989,Dell
9282,The Smoke Jumper,Nicholas Evans,4.06,0440235162,9780440235163,eng,576,28769,694,7/30/2002,Dell
9681,Serenissima aka Shylock's Daughter,Erica Jong,3.29,0440201047,9780440201045,eng,384,282,17,3/1/1988,Dell
10967,The Fiery Cross (Outlander  #5),Diana Gabaldon/Janos Farkas,4.27,0440221668,9780440221661,eng,1443,128901,5294,8/30/2005,Dell
10996,Your Eight Year Old: Lively and Outgoing,Louise Bates Ames/Frances L. Ilg/Carol C. Haber/Betty David,3.86,0440506816,9780440506812,eng,160,183,26,3/1/1990,Dell
13463,The How to Think Like Leonardo da Vinci Workbook: Your Personal Companion to How to Think Like Leonardo da Vinci,Michael J. Gelb,3.85,0440508827,9780440508823,eng,288,327,16,6/15/1999,Dell
16739,Blessings,Belva Plain,3.91,0440243254,9780440243250,eng,393,2562,39,9/15/2010,Dell
19181,Beowulf: A New Telling,Robert Nye,3.50,0440905605,9780440905608,eng,94,1690,326,3/15/1982,Dell
21495,The New Centurions,Joseph Wambaugh,3.94,0440164176,9780440164173,eng,368,2180,66,3/1/1987,Dell
21498,The Black Marble,Joseph Wambaugh,3.83,0440613965,9780440613961,en-US,416,936,45,9/2/1998,Dell
21783,Tinsel,William Goldman,3.19,0440187354,9780440187356,eng,399,258,14,6/15/1980,Dell
23584,I'm Good Enough  I'm Smart Enough  & Doggone It  People Like Me!,Al Franken/Melody Beattie/Stuart Smalley,3.82,0440504708,9780440504702,en-US,352,359,35,10/1/1992,Dell
23925,18 Best Stories by Edgar Allan Poe,Edgar Allan Poe/Vincent  Price/Chandler Brossard,4.02,0440322278,9780440322276,eng,288,412,37,4/15/1965,Dell
34768,Trevayne,Jonathan Ryder/Robert Ludlum,3.62,044019069X,9780440190691,en-GB,469,9,0,6/1/1986,Dell
35334,A Summer to Remember (Bedwyn Prequels  #2),Mary Balogh,4.08,0440236630,9780440236634,eng,361,7791,360,3/4/2003,Dell
37538,A Pinch of Snuff (Dalziel & Pascoe  #5),Reginald Hill,3.84,0440169127,9780440169123,eng,336,1077,47,7/1/1990,Dell
41952,The Lilac Bus,Maeve Binchy,3.62,0099498642,9780099498643,eng,196,9649,297,1/12/2007,Dell
42634,The Gilded Web (Web  #1),Mary Balogh,3.58,0440243068,9780440243069,eng,480,2621,169,11/28/2006,Dell
42929,Gai-Jin (Asian Saga  #3),James Clavell,3.86,044021680X,9780440216803,eng,1236,10757,296,4/3/1994,Dell
42933,Tai-Pan (Asian Saga  #2),James Clavell,4.27,0440184622,9780440184621,eng,734,39315,778,9/1/2009,Dell
43929,Darkest Fear (Myron Bolitar  #7),Harlan Coben,4.05,0752849190,9780752849195,eng,354,13462,583,11/8/2008,Dell
44766,Purple Cane Road (Dave Robicheaux  #11),James Lee Burke,4.15,0440224047,9780440224044,en-US,387,5467,246,5/8/2001,Dell
