bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
6511,Girl  Interrupted: Screenplay based on the book,James Mangold/Anna Hamilton Phelan/Lisa Loomer/Susanna Kaysen,4.02,057120211X,9780571202119,eng,167,253,15,2/21/2000,Faber & Faber
10057,Sid and Nancy: Love Kills,Alex Cox/Abbe Wool,3.48,0571145450,9780571145454,eng,143,140,5,12/31/1986,Faber & Faber
11013,Finnegans Wake,James Joyce,3.67,0571217354,9780571217359,eng,628,9780,591,11/4/2002,Faber & Faber
17918,Plays 1: The Real Inspector Hound / After Magritte / Dirty Linen / New-Found-Land / Dogg's Hamlet  Cahoot's Macbeth,Tom Stoppard,4.03,0571177654,9780571177653,eng,211,78,13,4/15/1996,Faber & Faber
19487,City of Glass: The Graphic Novel,Paul Karasik/David Mazzucchelli/Paul Auster/Art Spiegelman,3.93,0571226337,9780571226337,eng,144,1628,66,2/3/2005,Faber & Faber
19633,Self-Help,Lorrie Moore,4.20,0571145345,9780571145348,eng,176,78,9,1/10/1998,Faber & Faber
26101,Laughable Loves,Milan Kundera/Suzanne Rappaport,3.87,0571206921,9780571206926,eng,287,14928,470,8/21/2000,Faber & Faber
28923,When We Were Orphans,Kazuo Ishiguro,3.49,0571225403,9780571225408,eng,320,19252,1673,12/1/2007,Faber & Faber
31420,The Journals of Sylvia Plath,Sylvia Plath/Karen V. Kukil,4.31,0571205216,9780571205219,eng,752,106,9,6/13/2013,Faber & Faber
31421,Letters Home,Sylvia Plath,4.20,0571201156,9780571201150,eng,502,2373,63,1/1/1999,Faber & Faber
35987,The Greek Islands,Lawrence Durrell,3.89,0571214266,9780571214266,eng,332,25,3,4/8/2002,Faber & Faber
35988,The Avignon Quintet: Monsieur  Livia  Constance  Sebastian and Quinx,Lawrence Durrell,4.07,0571225551,9780571225552,en-US,1376,287,23,11/1/2004,Faber & Faber
38150,Orlando: A Biography: Film Screenplay,Sally Potter/Virginia Woolf,4.07,0571172954,9780571172955,eng,75,84,7,10/25/2013,Faber & Faber
38827,1599: A Year in the Life of William Shakespeare,James Shapiro,4.09,0571214800,9780571214808,eng,429,34,6,9/1/2005,Faber & Faber
44891,The Kid Stays in the Picture,Robert  Evans,3.92,0571219314,9780571219315,eng,462,2209,176,2/19/2004,Faber & Faber
