bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
2249,The Seven Habits of Highly Effective People,Stephen R. Covey,4.10,0671708635,9780671708634,eng,368,2505,233,9/15/1990,Free Press
2761,The Denial of Death,Ernest Becker/Sam Keen/Daniel Goleman,4.16,0684832402,9780684832401,eng,336,6599,635,5/8/1997,Free Press
4764,Soul of the Sword: An Illustrated History of Weaponry and Warfare from Prehistory to the Present,Robert L. O'Connell/John    Batchelor,3.75,0684844079,9780684844077,en-US,400,55,5,8/27/2002,Free Press
5240,Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Dinesh D'Souza,4.13,0684848236,9780684848235,eng,304,1059,35,2/23/1999,Free Press
7697,Persian Mirrors: The Elusive Face of Iran,Elaine Sciolino,3.82,0743284798,9780743284790,eng,432,546,53,10/3/2005,Free Press
8676,Unlimited Power: The New Science Of Personal Achievement,Anthony Robbins/Kenneth H. Blanchard/Jason Winters,4.23,0684845776,9780684845777,eng,448,25135,420,12/22/1997,Free Press
15167,She Got Up Off the Couch: And Other Heroic Acts from Mooreland  Indiana,Haven Kimmel,4.05,074328500X,9780743285001,en-US,313,8769,935,2/1/2007,Free Press
15173,The Used World,Haven Kimmel,3.63,0743247787,9780743247788,eng,308,1398,249,9/18/2007,Free Press
15174,Something Rising,Haven Kimmel,3.61,0743247779,9780743247771,eng,288,1237,154,4/5/2005,Free Press
17632,Tyranny of the Majority: Fundamental Fairness in Representative Democracy,Lani Guinier/Stephen L. Carter,3.87,0029131693,9780029131695,eng,352,41,3,2/1/1995,Free Press
18745,Female Chauvinist Pigs: Women and the Rise of Raunch Culture,Ariel Levy,3.68,0743284283,9780743284288,en-US,236,8511,765,10/3/2006,Free Press
22493,The Origins of the Civil Rights Movements: Black Communities Organizing for Change,Aldon D. Morris,4.05,0029221307,9780029221303,en-US,368,151,13,9/15/1986,Free Press
22633,The Trial of Queen Caroline: The Scandalous Affair that Nearly Ended a Monarchy,Jane Robins,3.39,0743255909,9780743255905,eng,384,52,8,8/7/2006,Free Press
23017,Presidential Power and the Modern Presidents: The Politics of Leadership from Roosevelt to Reagan,Richard E. Neustadt,3.77,0029227968,9780029227961,eng,384,293,17,3/1/1991,Free Press
27222,The Landmark Thucydides: A Comprehensive Guide to the Peloponnesian War,Thucydides/Robert B. Strassler/Richard Crawley/Victor Davis Hanson,3.90,0684827905,9780684827902,eng,713,1751,170,9/10/1998,Free Press
28213,The Band Played Dixie: Race and the Liberal Conscience at Ole Miss,Nadine Cohodas,3.96,0684827212,9780684827216,eng,309,46,5,5/5/1997,Free Press
29571,You: On a Diet: The Owner's Manual for Waist Management,Michael F. Roizen/Mehmet C. Oz,3.66,0743292545,9780743292542,en-US,370,4403,405,10/31/2006,Free Press
34266,It's All Too Much: An Easy Plan for Living a Richer Life with Less Stuff,Peter Walsh,3.85,0743292642,9780743292641,eng,230,4644,672,1/1/2007,Free Press
35925,Love Smart: Find the One You Want--Fix the One You Got,Phillip C. McGraw,3.56,074329243X,9780743292436,en-US,283,817,73,12/26/2006,Free Press
35926,Love Smart: Find the One You Want--Fix the One You Got,Phillip C. McGraw,3.56,0743272099,9780743272094,en-US,284,69,14,12/6/2005,Free Press
36071,First Things First,Stephen R. Covey/A. Roger Merrill/Rebecca R. Merrill,4.10,0684802031,9780684802039,eng,384,33724,350,1/17/1996,Free Press
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey/Jim Collins,4.10,0743269519,9780743269513,eng,372,431987,7024,11/9/2004,Free Press
36076,The Speed of Trust: The One Thing that Changes Everything,Stephen M.R. Covey,3.99,074329730X,9780743297301,eng,384,17073,528,10/17/2006,Free Press
36434,Touched with Fire: Manic-Depressive Illness and the Artistic Temperament,Kay Redfield Jamison,4.02,068483183X,9780684831831,en-US,384,4209,199,10/18/1996,Free Press
39068,Perfect Girls  Starving Daughters: The Frightening New Normalcy of Hating Your Body,Courtney E. Martin,3.78,0743287967,9780743287968,en-US,352,1116,125,4/17/2007,Free Press
41654,Masters of Enterprise: Giants of American Business from John Jacob Astor and J.P. Morgan to Bill Gates and Oprah Winfrey,H.W. Brands,4.00,0684854732,9780684854731,eng,368,101,10,6/7/1999,Free Press
42536,Yanks: The Epic Story of the American Army in World War I,John S.D. Eisenhower/Joanne Thompson Eisenhower,3.72,0743223853,9780743223850,eng,368,110,15,6/4/2002,Free Press
44644,Principle-Centered Leadership,Stephen R. Covey,4.10,0671792806,9780671792800,eng,336,15003,140,10/1/1992,Free Press
