bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
2152,The Jane Austen Book Club,Karen Joy Fowler,3.08,0452286530,9780452286535,eng,288,57720,3535,4/26/2005,G.P. Putnam's Sons
8522,For Kicks,Dick Francis,4.00,0425194981,9780425194980,eng,292,3062,94,2/3/2004,G.P. Putnam's Sons
8523,Forfeit,Dick Francis,3.94,0425201910,9780425201916,eng,256,2538,63,4/5/2005,G.P. Putnam's Sons
8525,Dead Cert,Dick Francis,3.97,0425194973,9780425194973,eng,277,4964,124,1/6/2004,G.P. Putnam's Sons
8528,Rat Race,Dick Francis,3.98,0425210766,9780425210765,eng,304,2400,93,7/5/2006,G.P. Putnam's Sons
8529,Reflex,Dick Francis,4.07,0425206955,9780425206959,eng,304,4675,129,10/4/2005,G.P. Putnam's Sons
8532,Decider,Dick Francis,3.99,042519938X,9780425199381,eng,341,3461,133,12/7/2004,G.P. Putnam's Sons
8533,Slay Ride,Dick Francis,3.82,0425196739,9780425196731,en-US,288,2215,60,4/6/2004,G.P. Putnam's Sons
8536,Bonecrack,Dick Francis,4.00,0425208850,9780425208854,eng,304,2910,84,6/6/2006,G.P. Putnam's Sons
8538,Break In (Kit Fielding  #1),Dick Francis,4.05,0425199932,9780425199930,eng,320,3758,128,1/4/2005,G.P. Putnam's Sons
8540,Blood Sport,Dick Francis,3.89,0425199169,9780425199169,eng,288,4600,113,11/2/2004,G.P. Putnam's Sons
8541,Straight,Dick Francis,4.05,042520846X,9780425208465,eng,320,3513,143,2/7/2006,G.P. Putnam's Sons
8542,10 lb Penalty,Dick Francis,3.90,042519745X,9780425197455,eng,320,3490,177,8/3/2004,G.P. Putnam's Sons
8544,Trial Run,Dick Francis,3.83,0425199835,9780425199831,eng,272,2004,54,9/7/2004,G.P. Putnam's Sons
8545,Wild Horses,Dick Francis,3.91,0425196747,9780425196748,eng,352,2935,154,5/4/2004,G.P. Putnam's Sons
8546,Field of Thirteen,Dick Francis,3.73,042519499X,9780425194997,eng,304,2053,85,3/2/2004,G.P. Putnam's Sons
8552,Bolt (Kit Fielding  #2),Dick Francis,4.04,0425202887,9780425202883,eng,288,5043,121,5/3/2005,G.P. Putnam's Sons
8557,Come to Grief (Sid Halley  #3),Dick Francis,4.01,0425207188,9780425207185,eng,384,3786,134,12/6/2005,G.P. Putnam's Sons
8559,Enquiry,Dick Francis,3.96,0425197050,9780425197059,en-US,272,96,4,7/6/2004,G.P. Putnam's Sons
8568,Odds Against (Sid Halley  #1),Dick Francis,4.06,0425198006,9780425198001,eng,288,3749,130,2/1/2005,G.P. Putnam's Sons
8574,Whip Hand (Sid Halley  #2),Dick Francis,4.10,0425203549,9780425203545,eng,304,5108,143,6/7/2005,G.P. Putnam's Sons
16428,Hercule Poirot's Casebook (Hercule Poirot  #42),Agatha Christie,4.31,0399150218,9780399150210,eng,861,1865,52,12/1/1998,G.P. Putnam's Sons
17202,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0399132678,9780399132674,eng,416,98,6,7/7/1987,G.P. Putnam's Sons
17204,The Friday Night Knitting Club (Friday Night Knitting Club  #1),Kate Jacobs,3.42,0399154094,9780399154096,eng,352,64473,7744,1/18/2007,G.P. Putnam's Sons
18610,Thin Air (Spenser  #22),Robert B. Parker/David Dukes,3.90,0425152901,9780425152904,en-US,320,4055,141,4/1/1996,G.P. Putnam's Sons
19707,Red Rabbit (Jack Ryan  #2),Tom Clancy,3.67,0399148701,9780399148705,eng,640,23018,514,8/26/2002,G.P. Putnam's Sons
22681,Line Of Vision,David Ellis,3.81,0425183769,9780425183762,en-US,448,609,82,2/5/2002,G.P. Putnam's Sons
29616,All Night Long,Jayne Ann Krentz,3.96,0399153055,9780399153051,eng,416,7438,257,1/3/2006,G.P. Putnam's Sons
29617,White Lies (Arcane Society  #2),Jayne Ann Krentz,4.01,039915373X,9780399153730,eng,371,7604,328,2/1/2007,G.P. Putnam's Sons
32807,Trojan Odyssey (Dirk Pitt  #17),Clive Cussler,3.94,0425199320,9780425199329,eng,463,15118,318,12/1/2004,G.P. Putnam's Sons
34596,Treasure of Khan (Dirk Pitt  #19),Clive Cussler/Dirk Cussler,3.91,0399153691,9780399153693,eng,552,10987,332,11/28/2006,G.P. Putnam's Sons
34708,The Aviators (Brotherhood of War  #8),W.E.B. Griffin,4.25,0515100536,9780515100532,eng,464,2567,33,5/1/1989,G.P. Putnam's Sons
37297,Eyes of Prey (Lucas Davenport  #3),John Sandford,4.18,0425214435,9780425214435,eng,358,18802,519,3/6/2007,G.P. Putnam's Sons
37301,Rules of Prey (Lucas Davenport  #1),John Sandford,4.11,0425205819,9780425205815,eng,479,62767,1738,8/2/2005,G.P. Putnam's Sons
41696,Black Wind (Dirk Pitt  #18),Clive Cussler/Dirk Cussler,3.86,0425204235,9780425204238,eng,639,10113,304,6/6/2006,G.P. Putnam's Sons
41701,The Mediterranean Caper (Dirk Pitt  #2),Clive Cussler,3.78,0425197395,9780425197394,eng,391,15305,494,4/6/2004,G.P. Putnam's Sons
