bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
2613,Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,Seth Godin/Malcolm Gladwell,3.98,0786887176,9780786887170,en-US,234,4600,88,10/10/2001,Hachette Books
4300,Scar Tissue,Anthony Kiedis,4.11,1401301010,9781401301019,en-US,465,327,46,10/6/2004,Hachette Books
6614,Lipstick Jungle,Candace Bushnell,3.41,0786887079,9780786887071,eng,496,37514,780,8/8/2006,Hachette Books
6615,Lipstick Jungle,Candace Bushnell,3.41,0786893966,9780786893966,eng,532,422,48,4/1/2007,Hachette Books
8930,Jamie's Italy,Jamie Oliver/David Loftus/Chris Terry,4.01,1401301959,9781401301958,eng,320,7653,90,11/14/2006,Hachette Books
8931,Jamie's Dinners: The Essential Family Cookbook,Jamie Oliver/Marion Deuchars/David Loftus/Chris Terry,4.07,1401301940,9781401301941,eng,336,4296,51,11/3/2004,Hachette Books
10867,The Pleasure of My Company,Steve Martin,3.78,0786888016,9780786888016,eng,176,13257,1240,10/6/2004,Hachette Books
10873,Shopgirl,Steve Martin,3.43,0786891076,9780786891078,eng,130,30067,2166,1/1/2000,Hachette Books
10897,There's No Place Like Here,Cecelia Ahern,3.67,1401301886,9781401301880,eng,340,1926,314,9/4/2007,Hachette Books
10929,For One More Day,Mitch Albom,4.10,1401303277,9781401303273,eng,197,113593,6830,9/26/2006,Hachette Books
14096,Wherever You Go  There You Are: Mindfulness Meditation in Everyday Life,Jon Kabat-Zinn,4.12,1401307787,9781401307783,eng,304,30333,1293,1/5/2005,Hachette Books
22126,Betrayal of Trust: The Collapse of Global Public Health,Laurie Garrett/Steven M. Wolinsky,4.12,0786884401,9780786884407,eng,768,1126,50,8/15/2001,Hachette Books
24937,Wicked: The Grimmerie,David Cote/Stephen Schwartz/Joan Marcus/Winnie Holzman,4.18,1401308201,9781401308209,eng,192,49109,290,10/26/2005,Hachette Books
30347,The Alibi,Sandra Brown,4.04,0446618675,9780446618670,eng,564,20164,523,11/1/2006,Hachette Books
30362,Charade,Sandra Brown,3.94,0446601853,9780446601856,en-US,496,6044,250,7/1/1995,Hachette Books
30383,Best Kept Secrets,Sandra Brown,3.77,0446533289,9780446533287,eng,480,5805,298,11/3/2003,Hachette Books
35474,Not a Genuine Black Man: Or  How I Claimed My Piece of Ground in the Lily-White Suburbs,Brian Copeland,4.04,1401302335,9781401302337,eng,272,351,78,7/11/2006,Hachette Books
38549,Nigella Bites: From Family Meals to Elegant Dinners--Easy  Delectable Recipes for Any Occasion,Nigella Lawson/Francesca Yorke,4.00,0786868694,9780786868698,eng,254,6587,71,11/13/2002,Hachette Books
39539,Feast: Food to Celebrate Life,Nigella Lawson,4.15,1401301363,9781401301361,eng,480,7285,86,10/27/2004,Hachette Books
39542,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Nigella Lawson,3.97,0786886811,9780786886814,eng,384,29553,254,9/1/2005,Hachette Books
40219,Dirty Jokes and Beer: Stories of the Unrefined,Drew Carey,3.53,0786885599,9780786885596,eng,256,1944,93,3/15/2000,Hachette Books
42055,Reduced Shakespeare: The Attention-impaired Readers Guide to the World's Best Playwright,Reed Martin/Austin Tichenor,4.13,1401302203,9781401302207,en-US,256,281,53,7/11/2006,Hachette Books
