bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
13144,Roses Are Red (Alex Cross  #6),James Patterson,4.04,0747266999,9780747266990,eng,421,220,19,6/25/2001,Headline
13157,The Jester,James Patterson/Andrew Gross,3.80,0755300203,9780755300204,eng,548,16563,849,3/1/2004,Headline
15194,Shades of Murder (Mitchell and Markby Village  #13),Ann Granger,3.88,0747268037,9780747268031,eng,404,260,25,2/1/2001,Headline
20891,A Friar's Bloodfeud (Knights Templar  #20),Michael Jecks,4.10,0755323009,9780755323005,eng,500,220,14,6/5/2006,Headline
21837,The Fraternity of the Stone (Mortalis  #2),David Morrell,4.16,074723891X,9780747238911,eng,448,2646,68,7/16/1992,Headline
32121,Last Rights (Francis Hancock #1),Barbara Nadel,3.53,0755321367,9780755321360,eng,352,132,15,1/2/2006,Headline
32124,Deep Waters (Cetin Ikmen  #4),Barbara Nadel,3.99,0747267197,9780747267195,eng,448,301,24,7/1/2002,Headline
32125,After the Mourning (Francis Hancock #2),Barbara Nadel,3.42,0755321383,9780755321384,eng,352,104,11,12/28/2006,Headline
36203,Sweet Rosie O'Grady,Joan Jonker,4.48,0747253749,9780747253747,eng,416,128,8,3/13/1997,Headline
38436,The Cat Who Played Post Office (Cat Who...  #6),Lilian Jackson Braun,3.97,0747250375,9780747250371,eng,224,6366,200,5/9/1996,Headline
40335,Full Speed (Full  #3),Janet Evanovich/Charlotte Hughes,3.83,0755301978,9780755301973,eng,344,11280,223,11/3/2003,Headline
41998,Open House,Jill Mansell,3.90,074726743X,9780747267430,en-US,448,2440,65,3/3/2003,Headline
42056,The Cat Who Knew Shakespeare (Cat Who...  #7),Lilian Jackson Braun,3.92,0747250383,9780747250388,eng,208,6876,206,11/7/1996,Headline
45041,Mansfield Park,Jane Austen,3.86,0755331478,9780755331475,eng,454,142,18,5/15/2006,Headline
