bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
5974,Sparrow Hawk Red,Ben Mikaelsen,3.79,0786811056,9780786811052,eng,185,1,0,4/1/1995,Little  Brown Books for Young Readers
8951,The Lake of Souls (Cirque du Freak #10),Darren Shan,4.18,0316016659,9780316016650,eng,272,18536,350,9/6/2006,Little  Brown Books for Young Readers
8967,Trials of Death (Cirque Du Freak  #5),Darren Shan,4.25,0316000957,9780316000956,eng,202,24590,525,1/18/2008,Little  Brown Books for Young Readers
10118,Saint George and the Dragon,Margaret Hodges/Trina Schart Hyman,4.18,0316367958,9780316367950,eng,32,6935,389,9/4/1990,Little  Brown Books for Young Readers
12248,Return to Ithaca (Tales from the Odyssey  #5),Mary Pope Osborne/Troy Howell,4.14,0786809930,9780786809936,eng,112,280,19,10/1/2004,Little  Brown Books for Young Readers
12263,The Gray-Eyed Goddess (Tales from the Odyssey  #4),Mary Pope Osborne/Troy Howell/Homer,4.09,0786809310,9780786809318,en-US,128,316,22,9/30/2003,Little  Brown Books for Young Readers
16963,The Hello  Goodbye Window,Norton Juster/Chris Raschka,3.87,0786809140,9780786809141,en-US,32,8898,1311,4/26/2005,Little  Brown Books for Young Readers
17533,Rose in Bloom (Eight Cousins  #2),Louisa May Alcott,4.04,0316030899,9780316030892,eng,302,19389,382,9/1/1995,Little  Brown Books for Young Readers
19768,Tough to Tackle,Matt Christopher/Harvey Kidder,3.87,0316140589,9780316140584,eng,139,389,24,9/30/1987,Little  Brown Books for Young Readers
20848,Catch That Pass!,Matt Christopher,3.91,0316139246,9780316139243,eng,130,290,23,9/1/1989,Little  Brown Books for Young Readers
22237,Son of the Mob (Son of the Mob  #1),Gordon Korman,3.72,0786815930,9780786815937,eng,262,5977,620,9/1/2004,Little  Brown Books for Young Readers
22892,The Foretelling,Alice Hoffman,3.84,0316154091,9780316154093,eng,182,2646,247,9/1/2006,Little  Brown Books for Young Readers
22893,Incantation,Alice Hoffman,3.88,0316010197,9780316010191,eng,166,5653,800,10/1/2006,Little  Brown Books for Young Readers
24297,At the Edge of the World (Crispin  #2),Avi,3.69,078685152X,9780786851522,en-US,234,2566,254,8/8/2006,Little  Brown Books for Young Readers
26586,The Land of the Dead (Tales from the Odyssey  #2),Mary Pope Osborne/Homer/Troy Howell,3.97,0786809299,9780786809295,eng,112,400,32,9/1/2003,Little  Brown Books for Young Readers
26587,The One-Eyed Giant (Tales from the Odyssey  #1),Mary Pope Osborne/Homer/Troy Howell,3.88,0786809280,9780786809288,en-US,112,782,84,9/1/2003,Little  Brown Books for Young Readers
26590,The Final Battle (Tales from the Odyssey  #6),Mary Pope Osborne/Troy Howell,4.08,0786809949,9780786809943,en-US,112,263,17,7/1/2005,Little  Brown Books for Young Readers
33906,Story of a Girl,Sara Zarr,3.66,0316014532,9780316014533,eng,192,15106,1558,1/10/2007,Little  Brown Books for Young Readers
37408,The Big Box,Toni Morrison/Slade Morrison,3.95,0786812915,9780786812912,eng,48,390,98,9/1/2002,Little  Brown Books for Young Readers
40081,The Meanest Doll in the World (Doll People  #2),Ann M. Martin/Laura Godwin/Brian Selznick,3.96,0786852976,9780786852970,en-GB,304,5717,417,5/15/2005,Little  Brown Books for Young Readers
41861,John  Paul  George & Ben,Lane Smith,4.21,0786848936,9780786848935,eng,40,3500,393,4/1/2006,Little  Brown Books for Young Readers
