bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
7041,The Full Cupboard of Life (No. 1 Ladies' Detective Agency  #5),Alexander McCall Smith,4.02,0375422188,9780375422188,eng,198,480,28,4/20/2004,Pantheon Books
7058,The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency #8),Alexander McCall Smith,4.07,0375422730,9780375422737,eng,213,20290,974,4/17/2007,Pantheon Books
7552,The Acme Novelty Library,Chris Ware,4.31,0375422951,9780375422959,en-US,108,2786,77,9/20/2005,Pantheon Books
9517,Persepolis 2: The Story of a Return (Persepolis  #2),Marjane Satrapi/Anjali Singh,4.24,0375714669,9780375714665,eng,187,57309,2308,8/2/2005,Pantheon Books
9525,Chicken with Plums,Marjane Satrapi,3.86,0375424156,9780375424151,en-US,84,8539,667,10/3/2006,Pantheon Books
15196,Maus I: A Survivor's Tale: My Father Bleeds History (Maus  #1),Art Spiegelman,4.34,0394541553,9780394541556,eng,159,203013,4873,11/1/1991,Pantheon Books
15901,Friends  Lovers  Chocolate (Isabel Dalhousie  #2),Alexander McCall Smith,3.62,0375422994,9780375422997,eng,261,9901,747,9/20/2005,Pantheon Books
15902,The Right Attitude to Rain (Isabel Dalhousie  #3),Alexander McCall Smith,3.75,0375423001,9780375423000,eng,276,7776,560,9/19/2006,Pantheon Books
23418,The Architecture of Happiness,Alain de Botton,3.86,0375424431,9780375424434,eng,280,7101,540,10/3/2006,Pantheon Books
37264,Good-Bye  Chunky Rice,Craig Thompson,3.80,0375714766,9780375714764,eng,125,7182,468,5/9/2006,Pantheon Books
37624,Gift from the Sea,Anne Morrow Lindbergh,4.17,0679406832,9780679406839,en-US,132,1372,187,10/8/1991,Pantheon Books
40152,Only Revolutions,Mark Z. Danielewski,3.21,0375421769,9780375421761,eng,360,4791,443,9/12/2006,Pantheon Books
