bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,0394743040,9780394743042,en-US,181,2057,128,3/12/1986,Pantheon
7052,Blue Shoes and Happiness (No. 1 Ladies' Detective Agency  #7),Alexander McCall Smith,4.06,0375422722,9780375422720,eng,227,386,37,4/18/2006,Pantheon
7053,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6),Alexander McCall Smith,4.08,0375422714,9780375422713,eng,233,22026,912,4/19/2005,Pantheon
9516,Persepolis: The Story of a Childhood (Persepolis  #1),Marjane Satrapi/Mattias Ripa,4.25,037571457X,9780375714573,eng,153,144121,8131,6/1/2004,Pantheon
9526,Embroideries,Marjane Satrapi/Anjali Singh,3.86,0375714677,9780375714672,eng,144,14654,1121,4/18/2006,Pantheon
9831,Julius Knipl  Real Estate Photographer: The Beauty Supply District,Ben Katchor,4.35,0375700986,9780375700989,eng,120,174,16,8/12/2003,Pantheon
20741,Interaction Ritual - Essays on Face-to-Face Behavior,Erving Goffman,4.05,0394706315,9780394706313,eng,288,308,9,1/12/1982,Pantheon
23524,Mythology: The DC Comics Art of Alex Ross,Alex Ross/Geoff Spear/Chip Kidd,4.33,0375714626,9780375714627,eng,320,1994,37,11/8/2005,Pantheon
24565,The Complete Monty Python's Flying Circus: All the Words  Vol. 2,Graham Chapman/John Cleese/Terry Gilliam/Eric Idle/Terry Jones/Michael Palin,4.44,0679726489,9780679726487,eng,384,1212,18,11/12/1989,Pantheon
24568,The Complete Monty Python's Flying Circus: All the Words: Volume 1,Graham Chapman/Eric Idle/Terry Gilliam/John Cleese/Terry Jones/Michael Palin/Roger Wilmut,4.38,0679726470,9780679726470,eng,352,3172,40,11/12/1989,Pantheon
26156,Peanuts: The Art of Charles M. Schulz,Chip Kidd/Jean Schulz/Charles M. Schulz/Geoff Spear,4.38,0375714634,9780375714634,eng,368,592,39,10/28/2003,Pantheon
38333,Black Hole,Charles Burns,3.84,037542380X,9780375423802,eng,368,38261,2037,10/18/2005,Pantheon
39916,Epileptic,David B.,3.88,0375714685,9780375714689,eng,368,11891,534,7/4/2005,Pantheon
40153,The Whalestoe Letters,Mark Z. Danielewski,4.04,0375714413,9780375714412,eng,83,2112,96,10/10/2000,Pantheon
