bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
400,Libra,Don DeLillo,3.99,0140156046,9780140156041,eng,480,11857,564,5/1/1991,Penguin
1548,Electra and Other Plays,Sophocles/E.F. Watling,4.14,0140440283,9780140440287,eng,218,135,9,4/30/1953,Penguin
1715,Metamorphoses,Ovid/David Raeburn/Denis Feeney,4.05,014044789X,9780140447897,eng,723,48223,764,8/3/2004,Penguin
1879,The History of Sexuality  Volume 1: The Will to Knowledge,Michel Foucault/Robert Hurley,4.04,0140268685,9780140268683,eng,168,313,27,10/29/1998,Penguin
1883,The History of Sexuality  Volume 2: The Use of Pleasure,Michel Foucault/Robert Hurley,4.08,0140137343,9780140137347,eng,304,51,2,7/30/1998,Penguin
2071,Freedom Evolves,Daniel C. Dennett,3.83,0142003840,9780142003848,eng,368,2324,88,1/27/2004,Penguin
2222,The Feeling Good Handbook,David D. Burns,4.00,0452281326,9780452281325,eng,729,4797,124,10/28/1999,Penguin
2899,The Pigeon,Patrick Süskind,3.68,0140105832,9780140105834,eng,77,6254,423,6/29/1989,Penguin
3758,Casino Royale (James Bond  #1),Ian Fleming,3.73,014200202X,9780142002025,eng,181,48961,2823,8/27/2002,Penguin
4104,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.93,0713997273,9780713997279,eng,278,832,118,1/11/2005,Penguin
4207,White Teeth,Zadie Smith,3.77,0140297782,9780140297782,en-GB,542,1265,142,11/30/2000,Penguin
4273,About a Boy,Nick Hornby,3.80,0141007338,9780141007335,eng,278,825,73,4/4/2002,Penguin
5306,Travels with Charley: In Search of America,John Steinbeck,4.08,0142000701,9780142000700,eng,214,56349,3738,2/5/2002,Penguin
5368,Forever Amber,Kathleen Winsor,3.99,0141009829,9780141009827,eng,972,14409,849,7/25/2002,Penguin
6180,The Monkey's Wrench,Primo Levi/William Weaver/Ruth Feldman/Ruth Tenzer Feldman,3.92,0140188924,9780140188929,eng,192,601,34,7/1/1995,Penguin
6628,The Big Over Easy (Nursery Crime  #1),Jasper Fforde,3.94,0143037234,9780143037231,eng,383,27137,1885,7/25/2006,Penguin
6658,When the Emperor Was Divine,Julie Otsuka,3.73,0141009055,9780141009056,en-US,160,180,27,1/12/2004,Penguin
7144,Crime and Punishment,Fyodor Dostoyevsky/David McDuff,4.21,0143058142,9780143058144,eng,671,483122,10265,12/31/2002,Penguin
7733,Gulliver's Travels,Jonathan Swift/Robert DeMaria Jr.,3.57,0141439491,9780141439495,eng,306,194738,3485,1/30/2003,Penguin
10210,Jane Eyre,Charlotte Brontë/Michael Mason,4.12,0142437204,9780142437209,eng,532,1409369,27884,2/4/2003,Penguin
10801,The Big Rock Candy Mountain,Wallace Stegner,4.15,0140139397,9780140139396,eng,563,6187,669,3/1/1991,Penguin
11045,The Spectator Bird,Wallace Stegner,3.99,0140139400,9780140139402,eng,214,4808,550,11/1/1990,Penguin
11231,Existentialists and Mystics: Writings on Philosophy and Literature,Iris Murdoch/George Steiner/Peter J. Conradi,4.10,0140264922,9780140264920,eng,576,184,18,7/1/1999,Penguin
12398,Europe Central,William T. Vollmann,3.92,0143036599,9780143036593,en-US,811,2121,247,12/1/2005,Penguin
