bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,0671742515,9780671742515,en-US,307,67803,1401,2/15/1991,Pocket Books
935,Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,074343059X,9780743430593,eng,334,1556,158,5/6/2003,Pocket Books
960,Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,1416524797,9781416524793,eng,736,2418736,21303,4/1/2006,Pocket Books
975,Deception Point,Dan Brown,3.71,1416524800,9781416524809,eng,736,4919,410,4/1/2006,Pocket Books
2997,My Secret Garden: Women's Sexual Fantasies,Nancy Friday,3.68,0671019872,9780671019877,eng,361,1817,123,10/28/2003,Pocket Books
3420,Morgan's Run,Colleen McCullough,3.95,0671024183,9780671024185,eng,848,3478,191,1/1/2002,Pocket Books
3421,The October Horse: A Novel of Caesar and Cleopatra (Masters of Rome  #6),Colleen McCullough,4.29,0671024205,9780671024208,eng,1110,4291,119,10/28/2003,Pocket Books
4601,Click  Clack  Moo: Cows That Type,Doreen Cronin/Betsy Lewin,4.24,0743461517,9780743461511,eng,30,348,33,6/1/2003,Pocket Books
4870,How To Enjoy Your Life And Your Job,Dale Carnegie/Dorothy Carnegie,3.96,0671708260,9780671708269,eng,224,1907,121,1/2/1990,Pocket Books
4873,The Leader In You: How to Win Friends  Influence People and Succeed in a Changing World,Dale Carnegie/Stuart R. Levine/Michael A. Crom,4.08,0671519980,9780671519988,eng,256,3713,103,5/1/1995,Pocket Books
4978,Wolves of the Calla (The Dark Tower  #5),Stephen King/Bernie Wrightson,4.18,141651693X,9781416516934,eng,931,127168,2801,2/1/2006,Pocket Books
5174,Fall on Your Knees,Ann-Marie MacDonald,3.96,0743466527,9780743466523,eng,672,55988,2434,10/29/2002,Pocket Books
5810,Girl in the Shadows (Shadows  #2),V.C. Andrews,3.81,1416500529,9781416500520,en-US,400,5,1,3/7/2006,Pocket Books
5813,Heaven (Casteel  #1),V.C. Andrews,4.03,0671010050,9780671010058,eng,464,13,0,4/1/1997,Pocket Books
6534,Postmortem (Kay Scarpetta  #1),Patricia Daniels Cornwell/Patricia Cornwell,4.02,0743477154,9780743477154,eng,342,193117,2123,12/30/2003,Pocket Books
6745,Wild Things (Prowlers Book 1),Christopher Golden,4.03,074344017X,9780743440172,eng,311,7,0,4/7/2003,Pocket Books
7454,Sex and the City: Kiss and Tell,Amy Sohn/Sarah Jessica Parker,4.01,0743456815,9780743456814,en-US,160,86,6,10/15/2002,Pocket Books
7520,Path of the Assassin (Scot Harvath  #2),Brad Thor,4.17,141651631X,9781416516316,eng,367,15270,485,7/1/2005,Pocket Books
9497,Memory's Embrace (Corbins  #3),Linda Lael Miller,4.19,0671737694,9780671737696,eng,320,407,18,6/1/1991,Pocket Books
10579,Everything's Eventual: 14 Dark Tales,Stephen King,3.97,1416524355,9781416524359,eng,605,73145,1519,11/1/2005,Pocket Books
10583,Pet Sematary,Stephen King,3.98,1416524347,9781416524342,eng,576,257466,3768,11/1/2005,Pocket Books
10622,Carrie,Stephen King,3.96,0671039725,9780671039721,eng,253,2707,192,10/1/1999,Pocket Books
11541,Swan Song,Robert R. McCammon,4.28,067162413X,9780671624132,eng,956,147,23,6/1/1987,Pocket Books
11548,Mine,Robert R. McCammon,3.90,0671739441,9780671739447,en-GB,496,9111,231,5/1/1991,Pocket Books
11549,Gone South,Robert R. McCammon,3.93,0671743074,9780671743079,eng,400,4849,228,8/1/1993,Pocket Books
11550,Usher's Passing,Robert R. McCammon,3.92,0671769928,9780671769925,eng,416,3226,143,10/1/1992,Pocket Books
11551,The Wolf's Hour,Robert R. McCammon,4.06,0671731424,9780671731427,eng,603,8741,326,8/15/1990,Pocket Books
11552,Mystery Walk,Robert R. McCammon,3.89,067176991X,9780671769918,eng,432,2242,96,10/1/1992,Pocket Books
11553,Boy's Life,Robert R. McCammon,4.35,0671743058,9780671743055,eng,580,17540,1740,5/1/1992,Pocket Books
11556,Stinger,Robert R. McCammon,3.87,0671737767,9780671737764,en-US,538,5725,147,4/1/1988,Pocket Books
11557,Swan Song,Robert R. McCammon,4.28,0671741039,9780671741037,eng,956,46244,2540,6/1/1987,Pocket Books
11604,The Girl Who Loved Tom Gordon,Stephen King,3.59,0671042858,9780671042851,eng,264,1997,184,2/1/2000,Pocket Books
12017,Inversions (Culture  #6),Iain M. Banks,3.92,074341196X,9780743411967,eng,343,10878,342,5/1/2001,Pocket Books
13177,Private Parts,Howard Stern,3.77,0671009443,9780671009441,eng,660,3878,151,3/1/1997,Pocket Books
13661,Tehanu (Earthsea Cycle  #4),Ursula K. Le Guin,3.94,1416509631,9781416509639,eng,281,26096,1053,11/23/2004,Pocket Books
14385,The Price of Pleasure (Sutherland Brothers  #2),Kresley Cole,4.00,0743466500,9780743466509,en-US,353,118,5,7/1/2004,Pocket Books
14386,If You Dare (MacCarrick Brothers  #1),Kresley Cole,4.00,1416503595,9781416503590,eng,349,10615,450,5/1/2005,Pocket Books
14841,Last Man Standing,David Baldacci,4.04,0743428951,9780743428958,eng,548,60,6,6/3/2002,Pocket Books
16006,Paradise (Second Opportunities  #1),Judith McNaught,4.31,0743474163,9780743474160,eng,709,27430,1132,7/1/2003,Pocket Books
16683,Tunnel in the Sky (Heinlein's Juveniles  #9),Robert A. Heinlein,3.94,1416505512,9781416505518,eng,262,10249,356,4/1/2005,Pocket Books
17026,Ishmael (Star Trek: The Original Series  #23),Barbara Hambly,3.93,0671743554,9780671743550,eng,256,1485,85,9/1/1991,Pocket Books
17152,My Antonia (Great Plains trilogy #3),Willa Cather/Alyssa  Harad,3.79,0743487699,9780743487696,eng,314,5985,507,3/4/2009,Pocket Books
17238,Dracula,Bram Stoker/Joseph Valente,3.99,0743477367,9780743477369,eng,528,9871,431,10/1/2003,Pocket Books
17253,Spock: The Fire and the Rose (Star Trek: Crucible  #2),David R. George III,3.96,0743491696,9780743491693,eng,390,206,14,11/28/2006,Pocket Books
17255,McCoy: The Provenance Of Shadows (Star Trek: Crucible  #1),David R. George III,4.14,0743491688,9780743491686,eng,640,332,38,8/29/2006,Pocket Books
17707,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,0671746065,9780671746063,eng,216,2796,242,5/1/1991,Pocket Books
18427,In the Name of Love and Other True Cases (Crime Files  #4),Ann Rule,4.04,067179356X,9780671793562,eng,414,1353,53,1/1/1998,Pocket Books
18488,Frankenstein  or the Modern Prometheus,Mary Wollstonecraft Shelley/Margaret Brantley,3.79,0743487583,9780743487580,eng,324,12897,780,5/1/2004,Pocket Books
20417,Have Space Suit—Will Travel,Robert A. Heinlein,3.90,1416505490,9781416505495,eng,276,23541,661,2/8/2005,Pocket Books
21282,Dead I Well May Be (Dead Trilogy #1),Adrian McKinty,3.97,0743470567,9780743470568,eng,384,2594,243,8/31/2004,Pocket Books
21283,The Dead Yard (Michael Forsythe #2),Adrian McKinty,4.12,0743499484,9780743499484,eng,364,1506,101,12/26/2006,Pocket Books
22063,Double Dealer (CSI: Crime Scene Investigation  #1),Max Allan Collins/Mike Flaherty,3.67,0743444043,9780743444040,en-US,320,1029,53,4/1/2003,Pocket Books
26723,Act of Treason (Mitch Rapp  #9),Vince Flynn,4.29,1416542264,9781416542261,eng,467,768,47,8/28/2007,Pocket Books
28564,Bloody River Blues (John Pellam  #2),William Jefferies/Jeffery Deaver,3.49,0671047507,9780671047504,eng,368,1003,46,12/1/2000,Pocket Books
28566,The Empty Chair (Lincoln Rhyme  #3),Jeffery Deaver,4.05,0671026011,9780671026011,en-US,512,459,41,4/1/2001,Pocket Books
28567,Twisted: The Collected Short Stories,Jeffery Deaver,3.93,0743491599,9780743491594,eng,480,3093,205,11/1/2004,Pocket Books
