bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
8178,Birthright (Diablo: The Sin War  #1),Richard A. Knaak,3.74,0743471229,9780743471220,eng,326,1246,69,10/1/2006,Pocket Star
14384,A Hunger Like No Other (Immortals After Dark  #1),Kresley Cole,4.19,1416509879,9781416509875,eng,356,57010,2634,4/1/2006,Pocket Star
22068,Snake Eyes (CSI: Crime Scene Investigation  #8),Max Allan Collins,3.77,0743496655,9780743496650,en-US,288,457,18,9/1/2006,Pocket Star
28148,A Wicked Gentleman (Cavendish Square  #1),Jane Feather,3.62,1416525513,9781416525516,eng,474,1121,60,3/20/2007,Pocket Star
28561,The Twelfth Card (Lincoln Rhyme  #6),Jeffery Deaver,3.99,0743491564,9780743491563,en-US,576,468,36,5/1/2006,Pocket Star
30976,Moon of the Spider (Diablo  #4),Richard A. Knaak,3.95,0743471326,9780743471329,en-US,336,749,16,1/1/2006,Pocket Star
30982,Scales of the Serpent (Diablo: The Sin War  #2),Richard A. Knaak,3.86,0743471237,9780743471237,eng,327,866,31,3/27/2007,Pocket Star
33030,Underworld: Blood Enemy (Underworld  #2),Greg Cox/Len Wiseman/Kevin Grevioux,3.91,0743480724,9780743480727,eng,310,548,26,11/30/2004,Pocket Star
38928,Three Little Secrets (MacLachlan Family  #4),Liz Carlyle,3.84,0743496124,9780743496124,eng,384,1181,50,4/1/2006,Pocket Star
41714,The Sea Hunters (The Sea Hunters #1),Clive Cussler/Craig Dirgo,3.82,0743480694,9780743480697,en-US,432,2004,58,9/1/2003,Pocket Star
43456,Scattered Leaves (Early Spring  #2),V.C. Andrews,3.78,1416530819,9781416530817,en-US,416,1481,44,2/27/2007,Pocket Star
43488,Hidden Leaves (De Beers  #5),V.C. Andrews,3.87,0743457870,9780743457873,en-US,288,2023,26,3/1/2003,Pocket Star
