bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
3273,Moloka'i (Moloka'i #1),Alan Brennert,4.17,0312304358,9780312304355,eng,405,91395,8192,10/4/2004,St. Martin's Griffin
4167,The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark,Tom Stanton,4.16,0312291566,9780312291563,eng,256,216,25,5/8/2002,St. Martin's Griffin
4696,The Last Jew,Noah Gordon/Mirjana Cvekić/Ljiljana Cvekić,4.10,0312300530,9780312300531,eng,352,4360,189,8/15/2000,St. Martin's Griffin
5952,Waiting for My Cats to Die: A Memoir,Stacy Horn,3.67,0312287445,9780312287443,eng,320,177,28,1/17/2002,St. Martin's Griffin
6994,Dumbing Down Our Kids: Why American Children Feel Good About Themselves But Can't Read  Write or Add,Charles J. Sykes,3.71,0312148232,9780312148232,eng,352,169,29,9/15/1996,St. Martin's Griffin
7260,Dominion: The Power of Man  the Suffering of Animals  and the Call to Mercy,Matthew Scully,4.16,0312319738,9780312319731,eng,448,1171,135,10/8/2003,St. Martin's Griffin
10126,Kiss Me Like a Stranger: My Search for Love and Art,Gene Wilder,3.90,0312337078,9780312337070,eng,261,3668,419,3/7/2006,St. Martin's Griffin
10174,Jenny and the Jaws of Life: Short Stories,Jincy Willett/David Sedaris,3.74,0312306180,9780312306182,en-US,272,1307,178,9/14/2002,St. Martin's Griffin
10222,The Far Pavilions,M.M. Kaye,4.21,031215125X,9780312151256,en-US,958,37064,1028,1/15/1997,St. Martin's Griffin
12502,McCarthy's Bar: A Journey of Discovery in Ireland,Pete McCarthy,3.80,0312311338,9780312311339,eng,338,8819,394,3/3/2003,St. Martin's Griffin
12571,An Unfortunate Woman,Richard Brautigan/Taylan Taftaf,3.78,0312277105,9780312277109,eng,132,1349,77,7/10/2001,St. Martin's Griffin
13485,Think Like a Guy: How to Get a Guy by Thinking Like One,Giuliana DePandi,3.15,0312354371,9780312354374,en-US,172,115,23,6/27/2006,St. Martin's Griffin
14462,Not Since Carrie: Forty Years of Broadway Musical Flops,Ken Mandelbaum,4.09,0312082738,9780312082734,eng,384,362,38,8/15/1992,St. Martin's Griffin
15781,Sideways,Rex Pickett,3.69,0312342519,9780312342517,eng,368,4494,522,10/1/2004,St. Martin's Griffin
16033,Mary Queen of Scotland and The Isles,Margaret George,4.05,0312155859,9780312155858,eng,870,11523,507,4/15/1997,St. Martin's Griffin
16944,The Gatekeeper: A Memoir,Terry Eagleton,3.78,0312316135,9780312316136,eng,192,96,10,6/2/2003,St. Martin's Griffin
16954,Birds of Prey (Courtney #9),Wilbur Smith,4.19,0312317115,9780312317119,eng,560,8082,191,5/16/2003,St. Martin's Griffin
18190,Bachelor Brothers' Bed & Breakfast Pillow Book,Bill Richardson,3.77,0312194404,9780312194406,eng,208,325,42,10/15/1998,St. Martin's Griffin
19444,Be Happy or I'll Scream!: My Deranged Quest for the Perfect Husband  Family  and Life,Sheri Lynch,3.71,0312342349,9780312342340,en-US,240,162,34,2/6/2007,St. Martin's Griffin
20812,Four Weddings and a Funeral,Richard Curtis,3.75,0312143400,9780312143404,eng,128,47,4,4/15/1996,St. Martin's Griffin
22366,Superfolks,Robert  Mayer/Grant Morrison,3.48,0312339925,9780312339920,eng,240,429,57,3/9/2005,St. Martin's Griffin
23206,A Writer's Workbook: Daily Exercises for the Writing Life,Caroline Sharp/Elizabeth Gilbert,3.72,031228621X,9780312286217,eng,176,152,16,6/14/2002,St. Martin's Griffin
23774,Something Borrowed (Darcy & Rachel  #1),Emily Giffin,3.85,0312321198,9780312321192,en-US,322,24522,4032,4/1/2005,St. Martin's Griffin
24566,The Pythons Autobiography by The Pythons,Graham Chapman/John Cleese/Terry Gilliam/Eric Idle/Terry Jones/Michael Palin/Bob McCabe,4.08,0312311451,9780312311452,eng,368,70,9,11/15/2005,St. Martin's Griffin
27539,On Intelligence,Jeff Hawkins/Sandra Blakeslee,4.12,0805078533,9780805078534,eng,261,5347,396,8/1/2005,St. Martin's Griffin
28289,Joe College,Tom Perrotta,3.39,0312361785,9780312361785,eng,306,3832,256,10/1/2006,St. Martin's Griffin
30214,Where the Mountain Casts Its Shadow: The Dark Side of Extreme Adventure,Maria Coffey/Thomas Hornbein,3.88,0312339011,9780312339012,eng,256,386,49,4/1/2005,St. Martin's Griffin
31185,Inside the Mind of Gideon Rayburn (Midvale Academy  #1),Sarah Miller,3.39,0312333757,9780312333751,eng,289,1072,90,5/2/2006,St. Martin's Griffin
33512,One Thousand White Women: The Journals of May Dodd (One Thousand White Women  #1),Jim Fergus,3.88,0312199430,9780312199432,eng,434,100949,7615,2/15/1999,St. Martin's Griffin
34208,The Everyday I Ching,Sarah Dening,4.19,0312151225,9780312151225,eng,224,23,3,1/15/1997,St. Martin's Griffin
34637,Nobody Loves a Centurion (SPQR  #6),John Maddox Roberts,4.14,0312320191,9780312320195,eng,288,641,25,10/10/2003,St. Martin's Griffin
37426,Little Children,Tom Perrotta,3.62,0312315732,9780312315733,eng,355,26316,1968,1/1/2005,St. Martin's Griffin
37852,Marilyn Manson,Kurt Reighley,3.36,0312181337,9780312181338,en-US,192,116,5,4/15/1998,St. Martin's Griffin
38736,James Herriot's Dog Stories,James Herriot/Victor G. Ambrus,4.40,0312364520,9780312364526,eng,464,5692,214,11/14/2006,St. Martin's Griffin
38925,Dirty Little Secrets,Joy King,4.15,031235407X,9780312354077,eng,256,304,31,5/30/2006,St. Martin's Griffin
39303,The Bitten (Vampire Huntress  #4),L.A. Banks,4.24,0312324081,9780312324087,en-US,435,2447,63,6/13/2005,St. Martin's Griffin
39304,The Forsaken (Vampire Huntress  #7),L.A. Banks,4.35,0312352352,9780312352356,eng,448,1878,36,6/27/2006,St. Martin's Griffin
39308,The Damned (Vampire Huntress  #6),L.A. Banks,4.28,0312336241,9780312336240,eng,487,69,3,1/24/2006,St. Martin's Griffin
40260,The Great Ape Project: Equality Beyond Humanity,Paola Cavalieri/Peter Singer,4.05,031211818X,9780312118181,en-US,312,86,11,12/15/1994,St. Martin's Griffin
41089,Modern Classics of Science Fiction,Gardner Dozois/Damon Knight/R.A. Lafferty/Samuel R. Delany/Brian W. Aldiss/Gene Wolfe/Joanna Russ/James Tiptree Jr./Ursula K. Le Guin/Edward Bryant/Howard Waldrop/Jack Dann/L. Sprague de Camp/Lucius Shepard/Pat Cadigan/John Kessel/William Gibson/Connie Willis/Michael Swanwick/Bruce Sterling/Theodore Sturgeon/Richard McKenna/Cordwainer Smith/Jack Vance/Edgar Pangborn/Keith Roberts/Roger Zelazny,4.17,0312088477,9780312088477,eng,672,91,6,1/15/1993,St. Martin's Griffin
42158,P.S. Your Cat Is Dead,James Kirkwood Jr.,3.75,0312321201,9780312321208,eng,218,1334,141,11/15/2003,St. Martin's Griffin
42909,All Things Wise and Wonderful,James Herriot,4.41,0312335288,9780312335281,eng,448,22780,366,11/1/2004,St. Martin's Griffin
43081,Marching Powder: A True Story of Friendship  Cocaine  and South America's Strangest Jail,Rusty Young/Thomas McFadden,4.26,0312330340,9780312330347,eng,400,11121,522,5/1/2004,St. Martin's Griffin
