bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.90,1400032490,9781400032495,eng,244,821,78,8/10/2004,Vintage Crime/Black Lizard
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,eng,215,731,72,3/8/2005,Vintage Crime/Black Lizard
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9781400032464,eng,191,2897,178,8/10/2004,Vintage Crime/Black Lizard
2049,The High Window (Philip Marlowe  #3),Raymond Chandler,4.08,0394758269,9780394758268,eng,265,13233,570,8/12/1992,Vintage Crime/Black Lizard
2051,The Simple Art of Murder,Raymond Chandler,4.16,0394757653,9780394757650,eng,384,4952,162,9/12/1988,Vintage Crime/Black Lizard
2054,The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,4.22,0394757688,9780394757681,eng,379,26389,1619,8/12/1988,Vintage Crime/Black Lizard
11318,Trouble Is My Business,Raymond Chandler,4.06,0394757645,9780394757643,eng,224,9606,258,8/12/1988,Vintage Crime/Black Lizard
30003,The Big Knockover: Selected Stories and Short Novels,Dashiell Hammett/Lillian Hellman/Jeff Stone,4.18,0679722599,9780679722595,eng,480,2916,83,7/17/1989,Vintage Crime/Black Lizard
36062,Crime Wave: Reportage and Fiction from the Underside of L.A.,James Ellroy/Art Cooper,3.59,037570471X,9780375704710,en-US,288,1752,50,1/26/1999,Vintage Crime/Black Lizard
37536,Adam and Eve and Pinch Me,Ruth Rendell,3.64,1400031184,9781400031184,eng,368,1932,131,1/14/2003,Vintage Crime/Black Lizard
39793,Before the Frost (Linda Wallander #1),Henning Mankell/Ebba Segerberg,3.85,1400095816,9781400095810,eng,375,8359,483,2/14/2006,Vintage Crime/Black Lizard
39795,The Dogs of Riga (Kurt Wallander  #2),Henning Mankell/Laurie Thompson,3.72,1400031524,9781400031528,eng,326,17060,1016,4/13/2004,Vintage Crime/Black Lizard
39796,Sidetracked (Kurt Wallander  #5),Henning Mankell/Steven T. Murray,4.07,1400031567,9781400031566,eng,432,15178,574,5/13/2003,Vintage Crime/Black Lizard
39797,The Return of the Dancing Master,Henning Mankell/Laurie Thompson,3.91,1400076951,9781400076956,swe,406,5341,314,2/8/2005,Vintage Crime/Black Lizard
42589,Shoot the Piano Player,David Goodis,4.02,0679732543,9780679732549,eng,158,2768,143,10/3/1990,Vintage Crime/Black Lizard
