bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,5/3/2005,William Morrow Paperbacks
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,0688060692,9780688060695,en-GB,408,286,10,11/19/1990,William Morrow Paperbacks
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,0060733357,9780060733353,en-US,815,19320,565,6/14/2005,William Morrow Paperbacks
826,The Big U,Neal Stephenson,3.25,0380816032,9780380816033,en-US,308,4657,223,2/6/2001,William Morrow Paperbacks
1243,A Million Little Lies,James Pinocchio/Pablo Fenjves,3.41,0061171468,9780061171468,en-US,191,201,24,3/28/2006,William Morrow Paperbacks
2126,The 3-Hour Diet: On the Go,Jorge Cruise,3.10,0060793198,9780060793197,en-US,192,31,2,10/18/2005,William Morrow Paperbacks
6366,My Heart May Be Broken  but My Hair Still Looks Great (Domestic Equalizers #2),Dixie Cash,3.88,0061134236,9780061134234,eng,336,1226,120,8/29/2006,William Morrow Paperbacks
7742,Ahab's Wife  or The Star-Gazer,Sena Jeter Naslund,4.03,0060838744,9780060838744,eng,704,40049,2391,8/2/2005,William Morrow Paperbacks
8745,Desert Flower,Waris Dirie/Cathleen Miller,4.15,0688172377,9780688172374,eng,240,11981,735,3/15/2011,William Morrow Paperbacks
8915,A Short History of World War II,James L. Stokesbury,3.95,0688085873,9780688085872,eng,416,472,41,1/1/1980,William Morrow Paperbacks
9144,NYC Ballet Workout,Peter Martins/Paul Kolnik/Richard Corman/Howard  Kaplan,4.01,0688152023,9780688152024,eng,208,238,10,1/13/1997,William Morrow Paperbacks
9301,Rachel's Holiday (Walsh Family  #2),Marian Keyes,3.95,0060090383,9780060090388,eng,578,55525,1223,1/23/2007,William Morrow Paperbacks
9303,Lucy Sullivan Is Getting Married,Marian Keyes,3.77,0060090375,9780060090371,en-US,640,43077,690,1/23/2007,William Morrow Paperbacks
9304,Essays and Stories by Marian Keyes: Bags  Trips  Make-up Tips  Charity  Glory  and the Darker Side of the Story,Marian Keyes,3.82,0060787031,9780060787035,eng,368,1625,42,9/6/2005,William Morrow Paperbacks
9619,Bradbury Stories: 100 of His Most Celebrated Tales,Ray Bradbury,4.41,0060544880,9780060544881,eng,912,5161,184,4/5/2005,William Morrow Paperbacks
9638,The Cat's Pajamas,Ray Bradbury,3.73,0060777338,9780060777333,eng,234,1370,122,7/26/2005,William Morrow Paperbacks
10750,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire/Douglas Smith,3.53,0060745908,9780060745905,en-US,409,2828,459,3/2/2004,William Morrow Paperbacks
13521,Son of a Witch (The Wicked Years  #2),Gregory Maguire/Douglas Smith/Jelena Bojić,3.47,0060747226,9780060747220,eng,352,52323,3023,9/26/2006,William Morrow Paperbacks
14497,Neverwhere (London Below  #1),Neil Gaiman,4.17,0060557818,9780060557812,eng,370,345122,15199,9/2/2003,William Morrow Paperbacks
15098,Five Quarters of the Orange,Joanne Harris,3.85,0061214604,9780061214608,eng,336,582,74,1/2/2007,William Morrow Paperbacks
15100,Sleep  Pale Sister,Joanne Harris,3.28,0060787112,9780060787110,en-US,396,2963,232,8/30/2005,William Morrow Paperbacks
15101,Blackberry Wine,Joanne Harris,3.80,0380815923,9780380815920,eng,368,10721,617,12/23/2003,William Morrow Paperbacks
15655,The Kindness of Strangers,Katrina Kittle,4.02,0060564784,9780060564780,en-US,400,11669,1418,1/2/2007,William Morrow Paperbacks
16887,How to Write: Advice and Reflections,Richard Rhodes,3.87,0688149480,9780688149482,eng,240,162,19,10/16/1996,William Morrow Paperbacks
17061,Coraline,Neil Gaiman/Dave McKean,4.06,0061139378,9780061139376,eng,162,403622,13096,8/29/2006,William Morrow Paperbacks
17639,The Guardship (Thomas Marlowe  #1),James L. Nelson,4.01,0380804522,9780380804528,eng,384,313,28,1/5/2000,William Morrow Paperbacks
18937,In the Beginning...Was the Command Line,Neal Stephenson,3.80,0380815931,9780380815937,en-US,151,6638,329,11/9/1999,William Morrow Paperbacks
18943,Confessions of an Ugly Stepsister,Gregory Maguire,3.53,0060987529,9780060987527,en-US,372,53782,3344,10/3/2000,William Morrow Paperbacks
19295,Ten Days to Self-Esteem,David D. Burns,3.96,0688094554,9780688094553,eng,336,436,19,3/17/1999,William Morrow Paperbacks
21671,Mystic River,Dennis Lehane,4.18,0060584750,9780060584757,eng,416,109447,2859,2/1/2001,William Morrow Paperbacks
21723,Like A Charm,Karin Slaughter/Peter Robinson/John Connolly/Denise Mina/Mark Billingham,3.48,0060583312,9780060583316,en-US,384,22,4,5/26/2015,William Morrow Paperbacks
23217,Size 14 Is Not Fat Either (Heather Wells  #2),Meg Cabot,3.83,0060525126,9780060525125,eng,344,27424,1038,11/28/2006,William Morrow Paperbacks
23220,Size 12 Is Not Fat (Heather Wells  #1),Meg Cabot,3.74,0060525118,9780060525118,eng,345,75856,2408,12/27/2005,William Morrow Paperbacks
23700,The Mermaids Singing,Lisa Carey,3.77,0380815591,9780380815593,en-US,288,1859,231,11/6/2001,William Morrow Paperbacks
24929,Lost,Gregory Maguire/Douglas Smith,2.82,0060988649,9780060988647,eng,340,13152,904,9/17/2002,William Morrow Paperbacks
26184,African Nights,Kuki Gallmann,3.80,0060954833,9780060954833,eng,336,313,19,3/22/2000,William Morrow Paperbacks
29248,Kevin Trudeau's Mega Memory: How to Release Your Superpower Memory in 30 Minutes Or Less a Day,Kevin Trudeau,3.54,0688153879,9780688153878,eng,368,128,15,8/16/2005,William Morrow Paperbacks
31222,The Purpose of Your Life: Finding Your Place In The World Using Synchronicity  Intuition  And Uncommon Sense,Carol Adrienne/James Redfield,3.76,0688166253,9780688166250,eng,320,218,27,3/17/1999,William Morrow Paperbacks
31316,The Dance of Intimacy: A Woman's Guide to Courageous Acts of Change in Key Relationships,Harriet Lerner,4.07,006091646X,9780060916466,eng,255,7368,185,1/1/1989,William Morrow Paperbacks
31555,Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran/Sandra Blakeslee/Oliver Sacks,4.26,0688172172,9780688172176,eng,352,15190,532,8/18/1999,William Morrow Paperbacks
31968,Walking the Bible: A Journey by Land Through the Five Books of Moses,Bruce Feiler,3.87,0060838639,9780060838638,eng,451,2539,331,8/2/2005,William Morrow Paperbacks
33026,The Dream and the Underworld,James Hillman,4.22,0060906820,9780060906825,en-US,256,746,34,7/25/1979,William Morrow Paperbacks
33458,The Lust Lizard of Melancholy Cove (Pine Cove  #2),Christopher Moore,3.87,0060735457,9780060735456,en-US,304,29113,1203,5/25/2004,William Morrow Paperbacks
33541,A Short History of World War I,James L. Stokesbury,3.95,0688001297,9780688001292,eng,352,353,43,2/1/1981,William Morrow Paperbacks
33768,Behaving Like Adults,Anna Maxted,3.54,0060096683,9780060096687,eng,400,2729,105,8/3/2004,William Morrow Paperbacks
33774,Running in Heels,Anna Maxted,3.53,0060988258,9780060988258,eng,432,5826,207,5/28/2002,William Morrow Paperbacks
34251,The Girl in the Glass,Jeffrey Ford,3.72,0060936193,9780060936198,eng,304,785,126,8/16/2005,William Morrow Paperbacks
34762,Legends  Lies  Cherished Myths of World History,Richard Shenkman,3.47,0060922559,9780060922559,eng,320,222,16,11/29/2011,William Morrow Paperbacks
37566,Trapped in the Mirror: Adult Children of Narcissists in Their Struggle for Self,Elan Golomb,3.82,0688140718,9780688140717,en-US,272,779,82,3/28/1995,William Morrow Paperbacks
43273,Kids Are Worth It!: Giving Your Child the Gift of Inner Discipline,Barbara Coloroso,4.19,0060014318,9780060014315,en-US,352,1215,129,8/20/2002,William Morrow Paperbacks
43278,Creating a Life Worth Living,Carol Lloyd,4.02,0060952431,9780060952433,eng,336,353,24,8/2/1997,William Morrow Paperbacks
44300,Smart Discipline: Fast  Lasting Solutions for Your Child's Self-Esteem and Your Peace of Mind,Larry J. Koenig,3.99,0060936665,9780060936662,en-US,208,13,2,3/2/2004,William Morrow Paperbacks
44312,Alphabet Weekends,Elizabeth Noble,3.59,0061122181,9780061122187,en-US,448,5796,386,1/23/2007,William Morrow Paperbacks
45516,The Die Broke Financial Problem Solver,Stephen M. Pollan/Mark LeVine,2.33,0066619912,9780066619910,en-US,272,3,0,12/26/2000,William Morrow Paperbacks
